,Unnamed: 0,Dni od zakupu,Marka,Wiek kupującego,Plec kupujacego,Ocena
340,340,10,Beko,43.0,M,2.0
341,341,12,Beko,43.0,M,3.0
342,342,6,Beko,47.0,M,2.5
343,343,13,Beko,49.0,M,2.0
344,344,6,Beko,18.0,M,5.0
346,346,2,Beko,31.0,M,3.5
347,347,10,Beko,44.0,M,1.5
349,349,8,Beko,45.0,M,1.5
351,351,9,Beko,,M,2.5
352,352,3,Beko,59.0,M,3.0
353,353,3,Beko,43.0,M,2.5
354,354,8,Beko,44.0,M,2.0
355,355,8,Beko,42.0,M,2.0
358,358,10,Beko,42.0,M,4.0
359,359,10,Beko,36.0,M,2.5
360,360,11,Beko,46.0,M,2.5
361,361,4,Beko,26.0,M,2.0
364,364,8,Beko,39.0,M,2.0
365,365,8,Beko,41.0,M,2.0
366,366,7,Beko,28.0,M,3.0
367,367,11,Beko,,M,2.5
368,368,9,Beko,46.0,M,3.5
369,369,8,Beko,56.0,M,2.0
371,371,7,Beko,40.0,M,3.5
372,372,6,Beko,27.0,M,3.5
373,373,5,Beko,43.0,M,2.0
374,374,10,Beko,41.0,M,1.5
375,375,8,Beko,45.0,M,4.0
376,376,8,Beko,22.0,M,2.5
378,378,5,Beko,29.0,M,4.0
379,379,5,Beko,48.0,M,4.5
381,381,4,Beko,,M,4.0
382,382,11,Beko,35.0,M,2.5
385,385,7,Beko,47.0,M,2.0
386,386,2,Beko,34.0,M,3.0
387,387,8,Beko,37.0,M,2.5
388,388,7,Beko,33.0,M,2.0
390,390,10,Beko,29.0,M,1.5
393,393,9,Beko,47.0,M,2.0
394,394,3,Beko,46.0,M,3.0
395,395,12,Beko,46.0,M,3.0
396,396,10,Beko,33.0,M,4.0
397,397,6,Beko,47.0,M,1.5
398,398,6,Beko,36.0,M,4.0
400,400,11,Beko,36.0,M,3.0
401,401,4,Beko,33.0,M,1.5
402,402,4,Beko,49.0,M,3.5
403,403,8,Beko,28.0,M,2.5
404,404,8,Beko,47.0,M,1.5
407,407,8,Beko,20.0,M,3.0
408,408,5,Beko,,M,2.0
409,409,4,Beko,26.0,M,3.0
410,410,3,Beko,37.0,M,4.5
411,411,7,Beko,45.0,M,2.0
412,412,7,Beko,65.0,M,4.0
413,413,6,Beko,,M,3.0
414,414,9,Beko,51.0,M,3.5
415,415,3,Beko,34.0,M,3.5
416,416,5,Beko,34.0,M,1.0
419,419,6,Beko,31.0,M,2.5
420,420,8,Beko,55.0,M,2.5
421,421,11,Beko,62.0,bd.,1.0
422,422,7,Beko,34.0,M,3.5
423,423,11,Beko,32.0,M,2.0
425,425,7,Beko,39.0,M,1.5
426,426,8,Beko,42.0,M,2.0
428,428,10,Beko,54.0,M,1.0
429,429,7,Beko,41.0,M,2.0
430,430,6,Beko,39.0,M,1.5
431,431,5,Beko,55.0,M,4.0
432,432,9,Beko,37.0,M,2.5
433,433,9,Beko,45.0,M,3.0
437,437,7,Beko,39.0,M,2.5
439,439,5,Beko,,M,4.0
440,440,9,Beko,40.0,M,4.0
441,441,6,Beko,40.0,M,3.0
442,442,8,Beko,41.0,M,3.5
443,443,5,Beko,41.0,M,1.5
444,444,10,Beko,,M,0.5
445,445,9,Beko,30.0,M,2.5
446,446,5,Beko,29.0,M,3.5
447,447,6,Beko,47.0,M,3.0
449,449,3,Beko,44.0,M,1.5
451,451,6,Beko,26.0,M,2.5
452,452,9,Beko,62.0,M,3.0
453,453,9,Beko,43.0,M,3.0
457,457,8,Beko,40.0,M,3.5
459,459,10,Beko,,M,2.5
460,460,14,Beko,39.0,M,1.5
461,461,5,Beko,27.0,M,3.0
462,462,5,Beko,28.0,M,3.0
463,463,11,Beko,46.0,M,3.0
464,464,10,Beko,27.0,M,1.5
465,465,4,Beko,42.0,M,1.5
466,466,13,Beko,41.0,M,2.0
468,468,3,Beko,22.0,M,3.0
469,469,4,Beko,42.0,M,2.5
470,470,8,Beko,49.0,M,4.5
471,471,10,Beko,50.0,M,2.5
472,472,5,Beko,28.0,M,2.5
473,473,6,Beko,39.0,M,1.0
474,474,5,Beko,36.0,M,2.5
475,475,5,Beko,,M,3.0
476,476,7,Beko,,M,2.5
477,477,6,Beko,23.0,M,3.5
478,478,8,Beko,51.0,M,0.5
479,479,6,Beko,48.0,M,3.5
480,480,8,Beko,38.0,bd.,2.0
481,481,6,Beko,28.0,M,4.0
485,485,7,Beko,50.0,M,3.5
486,486,7,Beko,30.0,M,1.0
487,487,5,Beko,34.0,M,2.5
490,490,11,Beko,44.0,M,3.0
491,491,11,Beko,29.0,M,3.5
492,492,9,Beko,49.0,M,2.0
493,493,7,Beko,31.0,M,3.0
494,494,4,Beko,50.0,M,3.0
496,496,7,Beko,29.0,M,3.5
497,497,8,Beko,47.0,M,1.5
498,498,5,Beko,36.0,M,2.0
500,500,6,Beko,25.0,M,3.5
501,501,3,Beko,43.0,M,3.5
503,503,9,Beko,,M,1.5
504,504,6,Beko,32.0,M,1.0
505,505,5,Beko,44.0,M,3.5
